Dia	TArmed	TArmax	TArmin	URmed	URmax	URmin	Pa	Chuva
1	27.95	34.90	21.80	46.54	78.00	20.00	955.17	0.00
2	28.10	34.30	23.10	48.67	76.00	24.00	954.71	0.00
3	28.90	35.60	23.00	46.08	75.00	23.00	954.85	0.00
4	28.88	35.50	22.70	45.29	74.00	23.00	955.34	0.00
5	28.45	35.00	23.10	45.54	70.00	21.00	955.65	0.00
6	28.64	35.10	23.10	43.54	68.00	19.00	955.70	0.00
7	28.58	35.70	22.80	45.17	68.00	22.00	955.57	0.00
8	28.14	35.30	22.20	48.17	74.00	23.00	955.76	0.00
9	27.76	35.40	21.60	47.13	73.00	24.00	955.61	0.00
10	28.18	36.10	21.60	44.33	73.00	20.00	955.23	0.00
11	27.79	35.10	21.10	44.63	71.00	21.00	955.57	0.00
12	25.66	33.70	21.70	60.17	73.00	32.00	956.68	3.00
13	27.91	34.40	21.40	51.42	84.00	23.00	956.06	0.00
14	27.99	35.00	22.50	48.71	73.00	22.00	956.13	0.00
15	27.34	33.50	23.20	46.88	71.00	23.00	956.18	0.00
16	27.20	33.70	20.30	45.21	78.00	16.00	956.18	0.00
17	26.99	33.00	21.10	49.96	75.00	26.00	955.47	0.00
18	26.70	32.80	23.20	55.79	78.00	27.00	954.78	0.80
19	27.21	33.90	21.70	49.71	88.00	24.00	954.83	3.20
20	25.00	31.90	21.10	69.50	91.00	33.00	955.78	3.60
21	25.53	32.60	21.60	66.92	90.00	32.00	954.99	12.20
22	23.97	29.70	21.70	75.13	89.00	48.00	954.80	1.00
23	24.74	29.70	19.70	66.67	89.00	42.00	954.48	0.40
24	24.84	29.30	21.80	67.38	86.00	47.00	954.95	0.60
25	26.33	33.30	21.00	58.17	83.00	29.00	955.13	0.00
26	26.08	31.80	21.80	57.42	78.00	32.00	954.94	0.20
27	27.26	32.60	22.50	53.79	76.00	33.00	954.62	0.00
28	27.70	34.30	22.50	48.42	78.00	24.00	954.95	0.00
29	27.19	34.10	20.70	43.96	70.00	19.00	954.36	0.00
30	23.67	26.70	20.10	68.50	87.00	50.00	954.76	6.00
31	26.11	33.70	20.10	60.71	86.00	29.00	954.22	1.00
32	27.97	34.80	20.70	45.46	76.00	21.00	954.88	0.00
33	27.83	34.20	21.60	44.92	72.00	18.00	955.05	0.00
34	27.43	34.20	21.10	46.38	74.00	24.00	955.18	0.00
35	27.10	33.90	20.50	44.63	74.00	21.00	955.37	0.00
36	27.40	33.90	21.20	46.29	75.00	23.00	955.51	0.00
37	27.37	33.70	21.10	47.88	74.00	26.00	955.85	0.00
38	27.75	34.60	20.90	46.21	77.00	22.00	954.34	0.00
39	28.45	36.20	21.00	43.08	76.00	16.00	953.25	0.00
40	27.42	35.80	22.00	52.04	83.00	19.00	953.98	9.40
41	27.13	32.50	22.10	58.42	88.00	31.00	954.80	0.00
42	27.15	34.50	22.00	53.21	85.00	23.00	955.16	1.60
43	25.90	31.30	21.00	54.42	81.00	32.00	954.99	0.00
44	26.05	31.20	21.40	55.46	80.00	31.00	955.19	0.00
45	26.81	32.80	19.80	49.17	77.00	28.00	955.80	0.00
46	26.28	33.50	20.70	53.42	79.00	27.00	955.18	0.00
47	26.45	32.50	20.50	53.17	79.00	30.00	954.72	0.00
48	25.79	30.80	22.20	56.17	75.00	31.00	955.39	0.00
49	23.98	30.60	21.50	75.08	91.00	45.00	956.25	4.20
50	23.10	27.70	19.80	83.38	93.00	61.00	956.96	89.40
51	24.08	31.90	19.70	74.92	94.00	39.00	956.02	0.40
52	25.63	31.70	21.10	64.83	87.00	34.00	956.08	0.00
53	25.89	32.50	20.90	63.25	83.00	34.00	954.80	0.00
54	26.02	32.60	20.30	57.67	85.00	32.00	954.02	0.00
55	25.79	31.70	20.50	55.58	83.00	30.00	953.62	0.00
56	25.31	31.70	19.10	57.75	86.00	28.00	953.76	0.00
57	26.62	32.80	20.80	54.33	80.00	30.00	954.88	0.00
58	25.35	32.50	21.60	68.25	87.00	37.00	955.50	8.60
59	25.84	31.50	20.10	61.79	88.00	36.00	955.71	0.00
60	26.55	32.60	20.20	52.29	82.00	28.00	955.83	0.00
61	26.49	33.30	18.00	49.42	81.00	25.00	955.80	0.00
62	26.10	33.00	19.90	49.83	76.00	24.00	955.97	0.00
