Day	Month	Year	Hour	temp_inst	temp_max	temp_min	rH_inst	rH_max	rH_min	dew_point_inst	dew_point_max	dew_point_min	pressure	pressure_max	pressure_min	wind_direction	windspeed	radiation	rain
3	7	2017	0	21.7	22.4	21.7	73	73	68	16.7	16.7	16.3	962.7	962.7	962	170	3.1	-3.04	0
3	7	2017	1	21.5	21.8	21.5	76	76	73	17.2	17.2	16.6	962.6	962.7	962.6	162	2	-2.18	0
3	7	2017	2	20.5	21.6	20.5	84	84	76	17.7	17.7	17.1	963	963	962.6	158	2.4	-2.62	0
3	7	2017	3	20.9	21	20.5	76	84	76	16.6	17.6	16.6	963	963	962.9	165	3.7	-2.2	0
3	7	2017	4	20.6	20.9	20.6	78	78	76	16.6	16.7	16.5	962.7	963	962.7	166	3.4	-1.97	0
3	7	2017	5	20.5	20.6	20.5	79	79	77	16.6	16.6	16.5	962.1	962.7	962.1	138	3.2	-2.04	0
3	7	2017	6	20.6	20.6	20.4	79	80	79	16.9	16.9	16.6	961.8	962.1	961.8	172	3.5	-1.97	0
3	7	2017	7	19.6	20.6	19.6	86	86	79	17.2	17.2	16.9	961.6	961.9	961.6	169	2.5	-2.65	0.2
3	7	2017	8	19.7	19.8	19.6	81	86	81	16.2	17.3	16.2	961.7	961.8	961.5	168	2.6	-3.44	0
3	7	2017	9	19.9	19.9	19.6	80	81	80	16.2	16.4	16.1	961.9	961.9	961.6	165	2.7	2.564	0
3	7	2017	10	20.6	20.6	19.8	75	80	75	16	16.3	16	962.5	962.5	961.9	175	4	134.1	0
3	7	2017	11	21.9	21.9	20.6	65	75	65	15	16.2	14.8	963.2	963.2	962.5	178	4.8	778.4	0
3	7	2017	12	23.6	23.6	21.8	54	65	53	13.7	15	13.4	963.4	963.5	963.2	166	5.2	1783	0
3	7	2017	13	25	25	23.4	51	56	51	14.1	14.7	13.3	963.1	963.6	963.1	172	5.1	2364	0
3	7	2017	14	24.7	25.7	24	51	54	49	13.8	14.6	13.3	962.7	963.1	962.7	165	5.2	2360	0
3	7	2017	15	24.5	25.8	24.1	51	53	49	13.7	15.1	13.6	962	962.7	961.9	177	6.1	1506	0
3	7	2017	16	25.1	25.9	24.5	51	53	47	14.2	14.4	13.3	961.3	962	961.3	174	5.5	1662	0
3	7	2017	17	25.2	26.5	24.8	51	53	49	14.4	15.3	13.5	960.8	961.3	960.8	165	5.1	1449	0
3	7	2017	18	24.7	25.2	24.7	54	54	51	14.7	14.9	14.1	960.5	960.8	960.4	171	3.8	882.9	0
3	7	2017	19	21.7	24.7	20.7	67	78	54	15.3	17	14.7	961.3	961.3	960.5	199	3.9	269.7	0.2
3	7	2017	20	22.1	22.1	21.7	68	69	67	15.9	16	15.3	961.5	961.5	961.3	186	2.4	170.1	0
3	7	2017	21	20.6	22.3	20.6	76	76	67	16.2	16.2	15.8	961.7	962	961.5	178	3.9	10.28	0
3	7	2017	22	20.9	21.2	20.5	70	76	67	15.2	16.2	14.8	962.2	962.2	961.7	180	2.6	-3.2	0
3	7	2017	23	20.7	21	20.6	70	71	69	15	15.3	15	962.6	962.6	962.1	177	2.7	-3.54	0
4	7	2017	0	21	21.3	20.7	69	70	67	15	15	14.9	962.7	962.7	962.6	168	3.9	-3.17	0
4	7	2017	1	20.3	21.1	20.2	73	73	69	15.2	15.3	15	963	963	962.7	171	3.4	-3.54	0
4	7	2017	2	20.3	20.3	20.1	72	73	72	15.1	15.2	15.1	962.9	963	962.8	174	4.3	-3.31	0
