X	Y	ThetaS	ThetaAvb	PhiMicro	PhiMeso	PhiMacro	Ds	S0	Ks	Clay	Silt	Sand	CSC	MSC	FSC	idS	Class
436550	9106770	0.3300	0.1060	62.65	11.56	25.79	1.5100	0.3288	0.0052	0.0721	0.2110	0.7169	0.1207	0.1482	0.4480	0.0218	SaLo
436629	9106770	0.3500	0.1170	56.85	13.35	29.80	1.5700	0.4254	0.0075	0.0604	0.1876	0.7520	0.1002	0.0965	0.5553	0.0262	SaLo
436709	9106752	0.4800	0.1410	80.11	8.22	11.67	1.3900	0.2916	0.0018	0.2028	0.3893	0.4079	0.1826	0.0322	0.1931	0.0242	Lo
436790	9106760	0.5000	0.1240	79.04	7.17	13.79	1.2100	0.5414	0.0089	0.2532	0.3258	0.4210	0.3108	0.0140	0.0962	0.0248	Lo
436861	9106760	0.4900	0.1100	79.09	6.48	14.43	1.3500	0.2831	0.0035	0.3203	0.3144	0.3653	0.2923	0.0048	0.0682	0.0196	ClLo
436556	9106676	0.3600	0.1020	52.34	11.09	36.57	1.5700	0.1588	0.0025	0.0669	0.2449	0.6882	0.0652	0.0796	0.5434	0.0244	SaLo
436629	9106690	0.4200	0.1340	71.02	10.34	18.64	1.4500	0.1923	0.0011	0.1190	0.3048	0.5762	0.2183	0.0568	0.3011	0.0250	SaLo
436717	9106672	0.4300	0.1540	89.05	6.54	4.41	1.5100	0.3294	0.0047	0.1794	0.3893	0.4314	0.2232	0.0159	0.1923	0.0230	Lo
436793	9106692	0.4600	0.1140	77.66	7.24	15.10	1.4400	0.2919	0.0033	0.2645	0.3258	0.4097	0.3192	0.0177	0.0728	0.0193	Lo
436873	9106676	0.5100	0.1260	81.45	6.89	11.66	1.3100	0.5368	0.0047	0.2532	0.2473	0.4995	0.3614	0.0255	0.1126	0.0225	SaClLo
436655	9106594	0.3900	0.1300	63.90	12.00	24.10	1.4500	0.2761	0.0024	0.0668	0.3855	0.5477	0.1107	0.0770	0.3600	0.0275	SaLo
436617	9106592	0.5000	0.1930	87.31	7.54	5.14	1.3400	0.2716	0.0033	0.1308	0.2697	0.5995	0.2241	0.0190	0.3564	0.0331	SaLo
436707	9106592	0.5000	0.1690	67.76	11.56	20.68	1.3300	0.2507	0.0015	0.1442	0.3541	0.5017	0.4713	0.0034	0.0270	0.0365	Lo
436779	9106584	0.4400	0.1220	69.21	8.98	21.81	1.4700	0.3132	0.0049	0.2028	0.3072	0.4900	0.3878	0.0046	0.0976	0.0229	Lo
436862	9106598	0.5000	0.1150	73.70	6.95	19.35	1.3100	0.4330	0.0168	0.2732	0.4127	0.3141	0.1888	0.0127	0.1125	0.0225	Lo
436572	9106520	0.3400	0.0980	60.08	10.27	29.65	1.3300	0.3927	0.0156	0.1490	0.4208	0.4302	0.1776	0.0233	0.2293	0.0237	Lo
436637	9106444	0.4300	0.0580	90.07	4.20	5.74	1.3700	0.3876	0.0023	0.4187	0.2567	0.3246	0.1097	0.0150	0.1999	0.0119	Cl
436708	9106514	0.5000	0.1390	67.55	9.17	23.28	1.3200	0.3670	0.0048	0.1559	0.4361	0.4080	0.2407	0.0133	0.1540	0.0299	Lo
436774	9106552	0.4500	0.1260	64.77	9.46	25.77	1.4500	0.2859	0.0078	0.1747	0.3706	0.4547	0.2713	0.0178	0.1656	0.0257	Lo
436835	9106528	0.5200	0.1160	81.91	6.23	11.86	1.2800	0.5573	0.0067	0.2981	0.3258	0.3761	0.2674	0.0162	0.0925	0.0210	ClLo
436588	9106438	0.4100	0.1120	64.95	9.09	25.96	1.4100	0.1584	0.0019	0.1425	0.3048	0.5527	0.2206	0.0096	0.3225	0.0233	SaLo
436634	9106534	0.3500	0.0920	76.53	7.83	15.64	1.5200	0.2716	0.0033	0.2832	0.4221	0.2947	0.1887	0.0117	0.0943	0.0151	ClLo
436705	9106438	0.4700	0.0860	88.77	4.54	6.69	1.4000	0.8819	0.0093	0.3670	0.4010	0.2319	0.0242	0.0175	0.1903	0.0133	ClLo
436777	9106424	0.4900	0.1260	70.94	8.09	20.97	1.3400	0.3112	0.0060	0.2084	0.4155	0.3761	0.2565	0.0217	0.0979	0.0252	Lo
436853	9106424	0.5400	0.1310	85.89	6.11	8.00	1.1500	1.1295	0.0135	0.2645	0.3033	0.4322	0.3830	0.0079	0.0413	0.0255	Lo
436568	9106338	0.3700	0.1050	74.81	8.68	16.50	1.4000	0.4182	0.0068	0.2011	0.4221	0.3768	0.2437	0.0153	0.1178	0.0191	Lo
436647	9106338	0.3800	0.0980	69.03	8.27	22.70	1.4900	0.2712	0.0062	0.2011	0.3986	0.4003	0.2499	0.0156	0.1348	0.0182	Lo
436709	9106356	0.4600	0.1500	58.69	12.54	28.77	1.4400	0.2331	0.0027	0.0738	0.4245	0.5017	0.2547	0.0263	0.2207	0.0351	SaLo
436790	9106360	0.4700	0.1310	71.34	8.88	19.79	1.4300	0.2769	0.0036	0.1911	0.3424	0.4665	0.3079	0.0122	0.1465	0.0246	Lo
436863	9106352	0.4900	0.1190	78.27	7.10	14.63	1.3500	0.6141	0.0121	0.2757	0.3594	0.3649	0.2687	0.0133	0.0829	0.0214	Lo
