Data,Vento0,Vento1,Vento2,Vento3,Vento4,Vento5,Vento6,Vento7,Vento8,Vento9,Vento10,Vento11,Vento12,Vento13,Vento14,Vento15,Vento16,Vento17,Vento18,Vento19,Vento20,Vento21,Vento22,Vento23
01-JAN-2012,0.9,1.2,2.8,1.1,1.8,0.3,1.8,1.6,2.4,0.2,2.1,4.4,4.0,3.8,3.0,3.0,2.0,1.2,3.2,1.5,3.0,3.5,2.5,3.1
02-JAN-2012,2.3,1.8,5.6,6.4,4.3,4.3,3.5,4.4,4.1,5.0,5.7,5.3,5.4,5.4,5.3,4.3,3.4,3.9,3.1,4.7,3.4,4.3,3.3,1.8
03-JAN-2012,2.1,6.3,2.5,3.6,3.3,3.4,3.0,3.7,1.7,1.2,3.3,2.7,3.1,2.4,1.8,2.2,1.8,2.5,1.9,1.0,2.3,3.6,1.3,1.1
04-JAN-2012,1.4,0.9,2.8,3.5,4.2,3.1,1.1,2.0,1.6,1.8,1.8,0.9,2.0,2.0,1.8,2.1,2.9,1.2,2.6,1.7,1.6,2.8,1.6,0.9
05-JAN-2012,0.9,0.7,2.8,3.4,3.6,2.0,1.4,1.4,2.3,1.7,2.6,1.9,1.8,1.9,2.2,3.1,2.9,2.1,3.9,4.4,4.3,4.1,0.6,0.8
06-JAN-2012,1.7,2.5,2.4,3.3,0.8,3.5,2.5,2.7,1.9,2.5,1.8,1.9,2.4,2.2,2.1,2.5,2.7,2.3,1.7,1.4,0.9,1.2,0.3,1.6
07-JAN-2012,2.3,1.5,1.8,3.0,3.8,5.0,4.0,1.4,1.8,0.8,2.3,3.9,3.4,2.8,2.2,3.4,2.8,1.9,2.6,1.9,2.6,2.4,1.0,0.8
08-JAN-2012,0.9,1.0,3.3,1.5,2.9,2.8,1.3,2.2,1.6,2.1,2.6,2.8,3.6,3.8,4.4,4.2,2.8,3.9,3.4,5.5,3.8,6.6,1.9,1.9
09-JAN-2012,3.1,3.6,3.1,3.4,2.4,3.7,2.3,2.6,3.4,2.7,3.4,3.2,4.0,3.6,3.4,3.7,4.0,2.3,2.8,1.6,5.2,2.8,1.5,1.9
10-JAN-2012,0.8,4.7,3.8,3.2,2.1,2.0,2.2,2.1,1.8,1.7,2.9,5.4,3.5,2.6,3.0,3.1,4.1,4.4,3.6,4.1,4.2,0.7,1.1,4.1
11-JAN-2012,4.5,2.7,3.1,3.0,2.6,3.8,3.5,2.6,2.2,2.6,2.5,4.7,4.3,3.9,3.7,3.1,3.6,2.2,2.2,2.6,3.2,2.8,2.7,5.5
12-JAN-2012,3.2,2.5,2.4,2.2,2.3,1.5,2.4,2.4,2.4,2.5,2.8,3.3,3.6,4.4,2.9,3.0,2.1,1.3,2.3,1.2,0.7,0.5,1.8,2.6
13-JAN-2012,1.8,1.8,2.3,2.6,1.8,0.7,2.1,2.3,1.7,1.7,2.1,3.1,3.3,2.4,2.1,4.4,2.7,2.9,2.4,2.7,3.2,1.3,1.4,3.3
14-JAN-2012,5.1,3.2,3.1,2.0,3.4,1.8,2.0,3.3,2.9,2.6,3.8,2.3,3.0,1.8,4.0,3.4,2.0,2.4,2.3,1.8,2.4,2.7,1.6,4.7
15-JAN-2012,1.6,2.9,2.7,3.5,3.2,3.0,2.8,2.5,1.9,1.7,1.8,2.0,3.6,3.0,3.7,5.3,4.1,2.9,3.3,4.0,2.7,1.6,1.3,1.4
16-JAN-2012,1.2,2.8,3.0,2.9,2.9,2.6,3.2,2.5,2.5,2.1,2.9,3.9,3.3,2.7,3.7,2.8,3.2,3.0,2.9,2.4,1.7,0.7,0.4,2.7
17-JAN-2012,2.3,2.3,3.0,1.9,1.5,1.2,0.6,0.6,1.3,1.3,1.3,0.9,1.9,1.2,2.0,2.0,2.9,1.7,2.5,2.4,0.7,3.1,2.6,1.3
