"","Date","Hour","WindSpeed"
"1",2012-01-01,0,0.9
"2",2012-01-01,1,1.2
"3",2012-01-01,2,2.8
"4",2012-01-01,3,1.1
"5",2012-01-01,4,1.8
"6",2012-01-01,5,0.3
"7",2012-01-01,6,1.8
"8",2012-01-01,7,1.6
"9",2012-01-01,8,2.4
"10",2012-01-01,9,0.2
"11",2012-01-01,10,2.1
"12",2012-01-01,11,4.4
"13",2012-01-01,12,4
"14",2012-01-01,13,3.8
"15",2012-01-01,14,3
"16",2012-01-01,15,3
"17",2012-01-01,16,2
"18",2012-01-01,17,1.2
"19",2012-01-01,18,3.2
"20",2012-01-01,19,1.5
"21",2012-01-01,20,3
"22",2012-01-01,21,3.5
"23",2012-01-01,22,2.5
"24",2012-01-01,23,3.1
"25",2012-01-02,0,2.3
"26",2012-01-02,1,1.8
"27",2012-01-02,2,5.6
"28",2012-01-02,3,6.4
"29",2012-01-02,4,4.3
"30",2012-01-02,5,4.3
"31",2012-01-02,6,3.5
"32",2012-01-02,7,4.4
"33",2012-01-02,8,4.1
"34",2012-01-02,9,5
"35",2012-01-02,10,5.7
"36",2012-01-02,11,5.3
"37",2012-01-02,12,5.4
"38",2012-01-02,13,5.4
"39",2012-01-02,14,5.3
"40",2012-01-02,15,4.3
"41",2012-01-02,16,3.4
"42",2012-01-02,17,3.9
"43",2012-01-02,18,3.1
"44",2012-01-02,19,4.7
"45",2012-01-02,20,3.4
"46",2012-01-02,21,4.3
"47",2012-01-02,22,3.3
"48",2012-01-02,23,1.8
"49",2012-01-03,0,2.1
"50",2012-01-03,1,6.3
"51",2012-01-03,2,2.5
"52",2012-01-03,3,3.6
"53",2012-01-03,4,3.3
"54",2012-01-03,5,3.4
"55",2012-01-03,6,3
"56",2012-01-03,7,3.7
"57",2012-01-03,8,1.7
"58",2012-01-03,9,1.2
"59",2012-01-03,10,3.3
"60",2012-01-03,11,2.7
"61",2012-01-03,12,3.1
"62",2012-01-03,13,2.4
"63",2012-01-03,14,1.8
"64",2012-01-03,15,2.2
"65",2012-01-03,16,1.8
"66",2012-01-03,17,2.5
"67",2012-01-03,18,1.9
"68",2012-01-03,19,1
"69",2012-01-03,20,2.3
"70",2012-01-03,21,3.6
"71",2012-01-03,22,1.3
"72",2012-01-03,23,1.1
"73",2012-01-04,0,1.4
"74",2012-01-04,1,0.9
"75",2012-01-04,2,2.8
"76",2012-01-04,3,3.5
"77",2012-01-04,4,4.2
"78",2012-01-04,5,3.1
"79",2012-01-04,6,1.1
"80",2012-01-04,7,2
"81",2012-01-04,8,1.6
"82",2012-01-04,9,1.8
"83",2012-01-04,10,1.8
"84",2012-01-04,11,0.9
"85",2012-01-04,12,2
"86",2012-01-04,13,2
"87",2012-01-04,14,1.8
"88",2012-01-04,15,2.1
"89",2012-01-04,16,2.9
"90",2012-01-04,17,1.2
"91",2012-01-04,18,2.6
"92",2012-01-04,19,1.7
"93",2012-01-04,20,1.6
"94",2012-01-04,21,2.8
"95",2012-01-04,22,1.6
"96",2012-01-04,23,0.9
"97",2012-01-05,0,0.9
"98",2012-01-05,1,0.7
"99",2012-01-05,2,2.8
"100",2012-01-05,3,3.4
"101",2012-01-05,4,3.6
"102",2012-01-05,5,2
"103",2012-01-05,6,1.4
"104",2012-01-05,7,1.4
"105",2012-01-05,8,2.3
"106",2012-01-05,9,1.7
"107",2012-01-05,10,2.6
"108",2012-01-05,11,1.9
"109",2012-01-05,12,1.8
"110",2012-01-05,13,1.9
"111",2012-01-05,14,2.2
"112",2012-01-05,15,3.1
"113",2012-01-05,16,2.9
"114",2012-01-05,17,2.1
"115",2012-01-05,18,3.9
"116",2012-01-05,19,4.4
"117",2012-01-05,20,4.3
"118",2012-01-05,21,4.1
"119",2012-01-05,22,0.6
"120",2012-01-05,23,0.8
"121",2012-01-06,0,1.7
"122",2012-01-06,1,2.5
"123",2012-01-06,2,2.4
"124",2012-01-06,3,3.3
"125",2012-01-06,4,0.8
"126",2012-01-06,5,3.5
"127",2012-01-06,6,2.5
"128",2012-01-06,7,2.7
"129",2012-01-06,8,1.9
"130",2012-01-06,9,2.5
"131",2012-01-06,10,1.8
"132",2012-01-06,11,1.9
"133",2012-01-06,12,2.4
"134",2012-01-06,13,2.2
"135",2012-01-06,14,2.1
"136",2012-01-06,15,2.5
"137",2012-01-06,16,2.7
"138",2012-01-06,17,2.3
"139",2012-01-06,18,1.7
"140",2012-01-06,19,1.4
"141",2012-01-06,20,0.9
"142",2012-01-06,21,1.2
"143",2012-01-06,22,0.3
"144",2012-01-06,23,1.6
"145",2012-01-07,0,2.3
"146",2012-01-07,1,1.5
"147",2012-01-07,2,1.8
"148",2012-01-07,3,3
"149",2012-01-07,4,3.8
"150",2012-01-07,5,5
"151",2012-01-07,6,4
"152",2012-01-07,7,1.4
"153",2012-01-07,8,1.8
"154",2012-01-07,9,0.8
"155",2012-01-07,10,2.3
"156",2012-01-07,11,3.9
"157",2012-01-07,12,3.4
"158",2012-01-07,13,2.8
"159",2012-01-07,14,2.2
"160",2012-01-07,15,3.4
"161",2012-01-07,16,2.8
"162",2012-01-07,17,1.9
"163",2012-01-07,18,2.6
"164",2012-01-07,19,1.9
"165",2012-01-07,20,2.6
"166",2012-01-07,21,2.4
"167",2012-01-07,22,1
"168",2012-01-07,23,0.8
"169",2012-01-08,0,0.9
"170",2012-01-08,1,1
"171",2012-01-08,2,3.3
"172",2012-01-08,3,1.5
"173",2012-01-08,4,2.9
"174",2012-01-08,5,2.8
"175",2012-01-08,6,1.3
"176",2012-01-08,7,2.2
"177",2012-01-08,8,1.6
"178",2012-01-08,9,2.1
"179",2012-01-08,10,2.6
"180",2012-01-08,11,2.8
"181",2012-01-08,12,3.6
"182",2012-01-08,13,3.8
"183",2012-01-08,14,4.4
"184",2012-01-08,15,4.2
"185",2012-01-08,16,2.8
"186",2012-01-08,17,3.9
"187",2012-01-08,18,3.4
"188",2012-01-08,19,5.5
"189",2012-01-08,20,3.8
"190",2012-01-08,21,6.6
"191",2012-01-08,22,1.9
"192",2012-01-08,23,1.9
"193",2012-01-09,0,3.1
"194",2012-01-09,1,3.6
"195",2012-01-09,2,3.1
"196",2012-01-09,3,3.4
